#	имя	Вес		D	s
265	51x3.2	3.77	5.45	51	3.2
266	51x3.5	4.1	5.99	51	3.5
267	53x1.4	1.78	2.39	53	1.4
268	53x1.5	1.91	2.57	53	1.5
269	53x1.6	2.03	2.74	53	1.6
270	53x1.8	2.27	3.1	53	1.8
271	53x2	2.52	3.46	53	2
272	53x2.2	2.76	3.82	53	2.2
273	53x2.5	3.11	4.36	53	2.5
274	53x2.8	3.47	4.91	53	2.8
275	53x3	3.7	5.28	53	3
276	53x3.2	3.93	5.65	53	3.2
277	53x3.5	4.27	6.21	53	3.5
278	54x1.4	1.82	2.44	54	1.4
279	54x1.5	1.94	2.62	54	1.5
280	54x1.6	2.07	2.79	54	1.6
281	54x1.8	2.32	3.16	54	1.8
282	54x2	2.56	3.52	54	2
283	54x2.2	2.81	3.88	54	2.2
284	54x2.5	3.18	4.44	54	2.5
285	54x2.8	3.54	5	54	2.8
286	54x3	3.77	5.37	54	3
287	54x3.2	4.01	5.75	54	3.2
288	54x3.5	4.36	6.32	54	3.5
289	57x1.4	1.92	2.57	57	1.4
290	57x1.5	2.05	2.76	57	1.5
291	57x1.6	2.19	2.95	57	1.6
292	57x1.8	2.45	3.33	57	1.8
293	57x2	2.71	3.71	57	2
294	57x2.2	2.97	4.09	57	2.2
295	57x2.5	3.36	4.67	57	2.5
296	57x2.8	3.74	5.26	57	2.8
297	57x3	4	5.65	57	3
298	57x3.2	4.25	6.05	57	3.2
299	57x3.5	4.62	6.65	57	3.5
300	60x1.4	2.02	2.7	60	1.4
301	60x1.5	2.16	2.9	60	1.5
302	60x1.6	2.3	3.1	60	1.6
303	60x1.8	2.58	3.49	60	1.8
304	60x2	2.86	3.9	60	2
305	60x2.2	3.14	4.3	60	2.2
306	60x2.5	3.54	4.91	60	2.5
307	60x2.8	3.95	5.52	60	2.8
308	60x3	4.22	5.94	60	3
309	60x3.2	4.48	6.35	60	3.2
310	60x3.5	4.88	6.98	60	3.5
311	60x3.8	5.27	7.62	60	3.8
312	63.5x1.4	2.14	2.85	63.5	1.4
313	63.5x1.5	2.29	3.06	63.5	1.5
314	63.5x1.6	2.44	3.27	63.5	1.6
315	63.5x1.8	2.74	3.69	63.5	1.8
316	63.5x2	3.03	4.12	63.5	2
317	63.5x2.2	3.33	4.54	63.5	2.2
318	63.5x2.5	3.76	5.18	63.5	2.5
319	63.5x2.8	4.19	5.83	63.5	2.8
320	63.5x3	4.48	6.27	63.5	3
321	63.5x3.2	4.76	6.71	63.5	3.2
322	63.5x3.5	5.18	7.37	63.5	3.5
323	63.5x3.8	5.59	8.03	63.5	3.8
324	70x1.4	2.37	3.14	70	1.4
325	70x1.5	2.53	3.37	70	1.5
326	70x1.6	2.7	3.6	70	1.6
327	70x1.8	3.03	4.06	70	1.8
328	70x2	3.35	4.52	70	2
329	70x2.2	3.68	4.99	70	2.2
330	70x2.5	4.16	5.69	70	2.5
331	70x2.8	4.64	6.4	70	2.8
332	70x3	4.96	6.88	70	3
333	70x3.2	5.27	7.36	70	3.2
334	70x3.5	5.74	8.08	70	3.5
335	70x3.8	6.2	8.81	70	3.8
336	70x4	6.51	9.3	70	4
337	73x1.4	2.47	3.27	73	1.4
338	73x1.5	2.64	3.51	73	1.5
339	73x1.6	2.82	3.75	73	1.6
340	73x1.8	3.16	4.23	73	1.8
341	73x2	3.5	4.71	73	2
342	73x2.2	3.84	5.2	73	2.2
343	73x2.5	4.35	5.93	73	2.5
344	73x2.8	4.85	6.67	73	2.8
345	73x3	5.18	7.16	73	3
346	73x3.2	5.51	7.66	73	3.2
347	73x3.5	6	8.41	73	3.5
348	73x3.8	6.48	9.17	73	3.8
349	73x4	6.81	9.68	73	4
350	76x1.4	2.58	3.4	76	1.4
351	76x1.5	2.76	3.65	76	1.5
352	76x1.6	2.94	3.9	76	1.6
353	76x1.8	3.29	4.4	76	1.8
354	76x2	3.65	4.9	76	2
355	76x2.2	4	5.4	76	2.2
356	76x2.5	4.53	6.17	76	2.5
357	76x2.8	5.05	6.93	76	2.8
358	76x3	5.4	7.45	76	3
359	76x3.2	5.74	7.96	76	3.2
360	76x3.5	6.26	8.74	76	3.5
361	76x3.8	6.77	9.53	76	3.8
362	76x4	7.1	10.05	76	4
363	76x4.5	7.93	11.38	76	4.5
364	76x5	8.75	12.72	76	5
365	76x5.5	9.56	14.08	76	5.5
366	83x1.6	3.21	4.25	83	1.6
367	83x1.8	3.6	4.8	83	1.8
368	83x2	4	5.34	83	2
369	83x2.2	4.38	5.89	83	2.2
370	83x2.5	4.96	6.72	83	2.5
371	83x2.8	5.54	7.55	83	2.8
372	83x3	5.92	8.11	83	3
373	83x3.2	6.3	8.67	83	3.2
374	83x3.5	6.86	9.51	83	3.5
375	83x3.8	7.42	10.36	83	3.8
376	83x4	7.79	10.93	83	4
377	83x4.5	8.71	12.37	83	4.5
378	83x5	9.62	13.82	83	5
379	83x5.5	10.51	15.29	83	5.5
380	89x1.6	3.45	4.55	89	1.6
381	89x1.8	3.87	5.13	89	1.8
382	89x2	4.29	5.72	89	2
383	89x2.2	4.71	6.3	89	2.2
384	89x2.5	5.33	7.19	89	2.5
385	89x2.8	5.95	8.08	89	2.8
386	89x3	6.36	8.67	89	3
387	89x3.2	6.77	9.27	89	3.2
388	89x3.5	7.38	10.17	89	3.5
389	89x3.8	7.98	11.08	89	3.8
390	89x4	8.38	11.69	89	4
391	89x4.5	9.38	13.22	89	4.5
392	89x5	10.36	14.77	89	5
393	89x5.5	11.33	16.33	89	5.5
394	95x2	4.59	6.09	95	2
395	95x2.5	5.7	7.66	95	2.5
396	95x3.2	7.24	9.87	95	3.2
397	95x5	11.1	15.71	95	5
398	102x1.8	4.45	5.87	102	1.8
399	102x2	4.93	6.53	102	2
400	102x2.2	5.41	7.2	102	2.2
401	102x2.5	6.13	8.21	102	2.5
402	102x2.8	6.85	9.22	102	2.8
403	102x3	7.32	9.9	102	3
404	102x3.2	7.8	10.58	102	3.2
405	102x3.5	8.5	11.6	102	3.5
406	102x3.8	9.2	12.63	102	3.8
407	102x4	9.67	13.32	102	4
408	102x4.5	10.82	15.06	102	4.5
409	102x5	11.96	16.81	102	5
410	102x5.5	13.09	18.57	102	5.5
411	108x1.8	4.71	6.21	108	1.8
412	108x2	5.23	6.91	108	2
413	108x2.2	5.74	7.62	108	2.2
414	108x2.5	6.5	8.68	108	2.5
415	108x2.8	7.26	9.75	108	2.8
416	108x3	7.77	10.46	108	3
417	108x3.2	8.27	11.18	108	3.2
418	108x3.5	9.02	12.26	108	3.5
419	108x3.8	9.76	13.35	108	3.8
420	108x4	10.26	14.07	108	4
421	108x4.5	11.49	15.9	108	4.5
422	108x5	12.7	17.75	108	5
423	108x5.5	13.9	19.61	108	5.5
424	114x1.8	4.98	6.55	114	1.8
